pred_gap,fail
-2.900554,1
-2.653536,1
-1.9893792,1
-1.7746485,1
-1.7693702,1
-1.7591145,1
-1.7273196,1
-1.6717803,1
-1.656728,0
-1.6128676,1
-1.577328,1
-1.5572298,1
-1.5003464,1
-1.481747,1
-1.4103229,0
-1.4071593,1
-1.3882833,0
-1.3732445,1
-1.3617678,1
-1.3554727,1
-1.3500444,1
-1.3380017,0
-1.3369209,1
-1.3320853,0
-1.3094918,1
-1.3016652,0
-1.2966001,0
-1.2918894,0
-1.2899034,1
-1.2889351,1
-1.28179,1
-1.2749313,1
-1.2660393,1
-1.2628036,0
-1.2577667,1
-1.252987,1
-1.2497296,1
-1.2450702,1
-1.240875,0
-1.2366723,1
-1.2333356,1
-1.228893,0
-1.2257729,1
-1.2233266,1
-1.2215,1
-1.2168658,0
-1.2158753,0
-1.2089822,1
-1.2057245,1
-1.1816971,1
-1.1755714,1
-1.1692529,0
-1.1656375,1
-1.163558,1
-1.1606643,1
-1.1571213,1
-1.1496078,1
-1.147512,0
-1.1458719,0
-1.1452557,1
-1.1363844,1
-1.1348841,1
-1.1297634,1
-1.1252474,0
-1.1225643,1
-1.1223968,1
-1.1182896,1
-1.1065124,0
-1.106309,1
-1.1062264,0
-1.1042068,1
-1.1001368,0
-1.0946689,1
-1.0898564,0
-1.0872511,1
-1.0770633,1
-1.0749044,0
-1.0745986,1
-1.072675,1
-1.0725,0
-1.0688863,1
-1.06884,0
-1.0668339,0
-1.0662262,0
-1.0598856,0
-1.0544122,0
-1.0531126,1
-1.0528448,0
-1.0501276,0
-1.0482035,1
-1.0464946,0
-1.0415388,1
-1.0342274,0
-1.0309495,0
-1.0284569,1
-1.0254017,1
-1.0250317,0
-1.0247498,0
-1.0236391,1
-1.0221608,0
-1.0213261,1
-1.0208637,0
-1.0185368,1
-1.0185189,0
-1.0159107,0
-1.0155842,1
-1.0102035,0
-1.0082383,1
-1.0057063,1
-1.0042243,0
-0.9961699,0
-0.9950409,0
-0.9931287,0
-0.990016,1
-0.9898319,0
-0.98531854,1
-0.9847263,0
-0.9842559,1
-0.98172903,0
-0.97861004,1
-0.97684115,0
-0.97672033,0
-0.9762615,1
-0.97392505,1
-0.9732093,1
-0.97296965,1
-0.9702541,1
-0.9646282,1
-0.9624164,1
-0.96208894,1
-0.9612261,0
-0.9603623,1
-0.95831025,1
-0.9560211,1
-0.95352674,0
-0.9534564,0
-0.9523334,1
-0.9506719,0
-0.94608605,1
-0.94603086,1
-0.9411675,1
-0.9409621,0
-0.93923426,0
-0.938369,1
-0.93637455,1
-0.93538034,1
-0.9323909,1
-0.9318832,1
-0.9303509,1
-0.9299158,1
-0.9217609,1
-0.92057836,0
-0.91841257,0
-0.9177962,1
-0.9165154,1
-0.91362226,0
-0.91143775,1
-0.91121197,0
-0.90947896,0
-0.90831393,1
-0.9074208,0
-0.90514255,0
-0.9039873,0
-0.9015335,1
-0.9002644,0
-0.8987992,0
-0.8987608,0
-0.8978652,0
-0.8973234,1
-0.8967796,1
-0.8951205,0
-0.89504194,1
-0.8949093,1
-0.8946312,0
-0.89400804,0
