id,label,act_gap,acc_binary_gap,acc_logsignal_gap
20211210_223336__628085__76::hmc__sknsh__0,0,0.413710,-0.147319,-0.142095
20211207_224529__679056__218::sa__k562__0,0,4.094937,0.969824,1.837757
20211207_141610__992334__626::sa__sknsh__0,0,-0.453012,0.004257,0.071360
20211207_152258__777391__742::sa__sknsh__0,0,0.037667,-0.010027,-0.149334
20211207_112927__175796__3261::sa__hepg2__2,0,1.488035,0.813880,1.066241
20211206_221956__59439361__2235::al__k562__0,0,3.617710,0.860328,1.073339
20211212_52639__969454__528::fsp__hepg2__1,0,2.377119,0.963310,1.830861
20211207_214935__668330__1388::sa__k562__0,0,2.180826,0.673954,0.865416
20211206_221956__59439361__732::al__k562__0,0,3.897554,0.841255,1.171752
20211212_14909__942569__272::fsp__sknsh__0,0,0.054419,0.000643,0.138831
20211207_224529__679056__5375::sa__k562__4,0,0.382676,0.436867,0.419190
20211214_111905__704605__2949::sa_rep__sknsh__0,0,0.221733,0.004329,0.089241
20211207_85512__472183__4430::sa__hepg2__3,0,1.535966,0.654606,0.910025
20211212_122659__199840__1056::fsp__sknsh__3,0,-0.138545,-0.022024,-0.041548
20211207_224529__679056__6709::sa__k562__5,0,0.490350,0.799715,0.902380
20211207_185623__627393__4815::sa__sknsh__3,0,-0.095315,-0.006734,-0.011151
20211212_10357__323391__179::fsp__k562__0,0,3.241800,0.941966,1.472633
20211207_195336__853804__4400::sa__k562__3,0,1.073194,0.411811,0.500885
20211210_223336__628085__323::hmc__sknsh__0,0,0.006705,-0.116970,-0.208796
20211212_22207__477844__7::fsp__k562__0,0,6.136249,0.954066,2.240535
20211214_111905__704605__3953::sa_rep__sknsh__0,0,0.020951,-0.001321,0.032431
20211207_234119__367484__1746::sa__k562__0,0,1.981578,0.644638,0.798433
20211210_222400__878831__276::hmc__hepg2__0,0,1.172235,0.769668,0.959717
20211212_85225__619474__1291::fsp__k562__4,0,-0.773786,0.495663,0.616909
20211210_222736__775920__398::hmc__hepg2__0,0,0.370062,0.414558,0.399615
20211207_152258__777391__2703::sa__sknsh__1,0,-0.037368,-0.152377,-0.265691
20211212_122659__199840__1629::fsp__sknsh__5,0,-0.202798,-0.019255,-0.205017
20211212_55149__346635__1518::fsp__hepg2__5,0,1.429402,0.575585,0.901003
20211214_111905__704605__3516::sa_rep__sknsh__0,1,-0.119616,0.032015,0.183610
20211212_24754__730114__1659::fsp__k562__5,0,0.557799,0.055273,0.129399
20211212_24754__730114__962::fsp__k562__2,0,0.778518,0.377670,0.541607
20211212_122659__199840__1190::fsp__sknsh__3,0,0.103749,-0.040825,-0.284874
