id,target_cell,method,measured_gap,measured_fail,pred_gap
20211210_223336__628085__76::hmc__sknsh__0,SKNSH,hmc,1.651,0,0.41370955
20211207_224529__679056__218::sa__k562__0,K562,sa,4.074,0,4.0949373
20211207_141610__992334__626::sa__sknsh__0,SKNSH,sa,4.187,0,-0.45301223
20211207_152258__777391__742::sa__sknsh__0,SKNSH,sa,2.517,0,0.037666917
20211207_112927__175796__3261::sa__hepg2__2,HepG2,sa,2.548,0,1.488035
20211206_221956__59439361__2235::al__k562__0,K562,al,5.445,0,3.61771
20211212_52639__969454__528::fsp__hepg2__1,HepG2,fsp,2.483,0,2.377119
20211207_214935__668330__1388::sa__k562__0,K562,sa,2.863,0,2.180826
20211206_221956__59439361__732::al__k562__0,K562,al,4.956,0,3.897554
20211212_14909__942569__272::fsp__sknsh__0,SKNSH,fsp,1.796,0,0.054418564
20211207_224529__679056__5375::sa__k562__4,K562,sa,1.936,0,0.38267645
20211214_111905__704605__2949::sa_rep__sknsh__0,SKNSH,sa_rep,0.378,0,0.221733
20211207_85512__472183__4430::sa__hepg2__3,HepG2,sa,2.939,0,1.535966
20211212_122659__199840__1056::fsp__sknsh__3,SKNSH,fsp,1.483,0,-0.13854536
20211207_224529__679056__6709::sa__k562__5,K562,sa,2.333,0,0.49034965
20211207_185623__627393__4815::sa__sknsh__3,SKNSH,sa,1.053,0,-0.09531513
20211212_10357__323391__179::fsp__k562__0,K562,fsp,5.751,0,3.2417998
20211207_195336__853804__4400::sa__k562__3,K562,sa,5.475,0,1.0731941
20211210_223336__628085__323::hmc__sknsh__0,SKNSH,hmc,0.77,0,0.0067051053
20211212_22207__477844__7::fsp__k562__0,K562,fsp,6.376,0,6.136249
20211214_111905__704605__3953::sa_rep__sknsh__0,SKNSH,sa_rep,4.938,0,0.020951271
20211207_234119__367484__1746::sa__k562__0,K562,sa,2.036,0,1.981578
20211210_222400__878831__276::hmc__hepg2__0,HepG2,hmc,2.313,0,1.1722355
20211212_85225__619474__1291::fsp__k562__4,K562,fsp,2.805,0,-0.7737862
20211210_222736__775920__398::hmc__hepg2__0,HepG2,hmc,1.753,0,0.370062
20211207_152258__777391__2703::sa__sknsh__1,SKNSH,sa,3.051,0,-0.03736774
20211212_122659__199840__1629::fsp__sknsh__5,SKNSH,fsp,3.397,0,-0.20279765
20211212_55149__346635__1518::fsp__hepg2__5,HepG2,fsp,1.883,0,1.4294018
20211214_111905__704605__3516::sa_rep__sknsh__0,SKNSH,sa_rep,-0.031,1,-0.119615555
20211212_24754__730114__1659::fsp__k562__5,K562,fsp,3.636,0,0.5577988
20211212_24754__730114__962::fsp__k562__2,K562,fsp,4.471,0,0.7785182
20211212_122659__199840__1190::fsp__sknsh__3,SKNSH,fsp,3.419,0,0.10374898
20211212_52639__969454__1139::fsp__hepg2__3,HepG2,fsp,-1.036,1,0.8487686
20211207_152258__777391__5392::sa__sknsh__4,SKNSH,sa,1.246,0,0.1137332
20211207_85512__472183__2470::sa__hepg2__1,HepG2,sa,1.797,0,0.13736868
20211214_94001__624120__274::sa_rep__k562__0,K562,sa_rep,3.064,0,2.585771
20211214_111905__704605__2833::sa_rep__sknsh__0,SKNSH,sa_rep,1.541,0,-0.2949005
20211207_185623__627393__3412::sa__sknsh__2,SKNSH,sa,0.555,0,0.31293088
20211207_85512__472183__2673::sa__hepg2__1,HepG2,sa,3.01,0,1.5221872
20211210_221533__849423__374::hmc__k562__0,K562,hmc,4.506,0,1.379673
20211212_122659__199840__517::fsp__sknsh__1,SKNSH,fsp,4.953,0,-0.59917647
20211207_175000__383007__839::sa__sknsh__0,SKNSH,sa,3.609,0,-0.38261318
20211207_214935__668330__5220::sa__k562__4,K562,sa,4.753,0,2.430169
20211207_212124__46481152__2826::al__sknsh__0,SKNSH,al,3.869,0,0.8290118
20211212_45907__313665__1749::fsp__hepg2__5,HepG2,fsp,3.819,0,1.2538996
20211207_141610__992334__1671::sa__sknsh__0,SKNSH,sa,1.21,0,-0.7047465
20211207_212124__46481152__3086::al__sknsh__0,SKNSH,al,4.371,0,0.3543806
20211208_2954__56294947__90::al__k562__3,K562,al,5.7,0,2.1853912
20211212_24754__730114__964::fsp__k562__2,K562,fsp,2.372,0,0.9502299
20211212_52639__969454__995::fsp__hepg2__2,HepG2,fsp,2.768,0,1.7262261
20211212_45907__313665__1157::fsp__hepg2__3,HepG2,fsp,2.72,0,0.8213589
20211207_112927__175796__1404::sa__hepg2__0,HepG2,sa,3.696,0,2.2021015
20211207_195336__853804__3005::sa__k562__2,K562,sa,1.648,0,0.22385532
20211212_61436__944763__510::fsp__hepg2__1,HepG2,fsp,1.183,0,1.4882534
20211214_100033__420816__1065::sa_rep__hepg2__0,HepG2,sa_rep,0.147,0,0.48870844
20211206_221956__59439361__1163::al__k562__0,K562,al,5.374,0,3.039311
20211214_100033__420816__1465::sa_rep__hepg2__0,HepG2,sa_rep,-4.803,1,0.6993161
20211214_111905__704605__3190::sa_rep__sknsh__0,SKNSH,sa_rep,4.253,0,-0.2999816
20211210_221910__955552__282::hmc__hepg2__0,HepG2,hmc,4.394,0,1.1569107
20211210_194206__199488__1069::sa_uc__k562__0,K562,sa_uc,4.856,0,5.036058
20211206_221956__59439361__3198::al__k562__0,K562,al,4.162,0,3.8610454
20211212_52639__969454__1032::fsp__hepg2__3,HepG2,fsp,2.327,0,1.6510916
20211212_10357__323391__526::fsp__k562__0,K562,fsp,3.764,0,4.0147047
20211207_63610__124703__5602::sa__hepg2__4,HepG2,sa,0.657,0,0.26751432
20211212_52639__969454__1185::fsp__hepg2__3,HepG2,fsp,3.6,0,2.5099742
20211206_221956__59439361__1377::al__k562__0,K562,al,4.765,0,2.4265037
20211214_100033__420816__2622::sa_rep__hepg2__0,HepG2,sa_rep,0.356,0,0.079899855
20211214_94001__624120__3084::sa_rep__k562__0,K562,sa_rep,2.849,0,0.82172406
20211207_185623__627393__6344::sa__sknsh__5,SKNSH,sa,1.502,0,0.27895647
20211207_73549__261982__3320::sa__hepg2__2,HepG2,sa,1.728,0,0.5970187
20211214_100033__420816__3105::sa_rep__hepg2__0,HepG2,sa_rep,0.865,0,0.9831445
20211207_152258__777391__5587::sa__sknsh__4,SKNSH,sa,2.165,0,0.03507945
20211210_195715__852420__227::fsp_uc__k562__0,K562,fsp_uc,6.522,0,3.879792
20211207_73549__261982__1318::sa__hepg2__0,HepG2,sa,2.359,0,1.3444128
20211212_22207__477844__1249::fsp__k562__3,K562,fsp,3.618,0,1.2550876
20211206_221956__59439361__3958::al__k562__0,K562,al,5.476,0,4.051637
20211207_112927__175796__2989::sa__hepg2__1,HepG2,sa,2.675,0,0.7891747
20211210_221758__613002__429::hmc__hepg2__0,HepG2,hmc,3.018,0,0.9469166
20211214_94001__624120__490::sa_rep__k562__0,K562,sa_rep,2.74,0,1.482761
20211206_24503__33072627__1299::al__hepg2__0,HepG2,al,3.472,0,1.758572
20211212_52639__969454__513::fsp__hepg2__1,HepG2,fsp,1.194,0,1.2128885
20211210_220554__102599__361::hmc__k562__0,K562,hmc,2.991,0,0.6054346
20211212_12620__229779__1894::fsp__hepg2__0,HepG2,fsp,0.266,0,2.4460716
20211207_152258__777391__1173::sa__sknsh__0,SKNSH,sa,2.03,0,0.3419261
20211212_82245__817810__1569::fsp__sknsh__5,SKNSH,fsp,1.121,0,0.12499681
20211207_63610__124703__928::sa__hepg2__0,HepG2,sa,3.518,0,1.0361139
20211207_141610__992334__3084::sa__sknsh__2,SKNSH,sa,2.207,0,-0.091570266
20211207_195336__853804__2215::sa__k562__1,K562,sa,2.038,0,-0.050096273
20211207_85512__472183__3026::sa__hepg2__2,HepG2,sa,2.875,0,1.0611475
20211207_212124__46481152__918::al__sknsh__0,SKNSH,al,2.484,0,0.53492963
20211214_111905__704605__153::sa_rep__sknsh__0,SKNSH,sa_rep,1.236,0,0.025887728
20211207_214935__668330__4773::sa__k562__3,K562,sa,3.917,0,1.0541723
20211207_63610__124703__3786::sa__hepg2__2,HepG2,sa,2.747,0,1.2175558
20211212_45907__313665__784::fsp__hepg2__2,HepG2,fsp,1.53,0,1.7574533
20211207_195336__853804__169::sa__k562__0,K562,sa,5.492,0,2.8930106
20211212_24754__730114__1660::fsp__k562__5,K562,fsp,2.665,0,0.35792652
20211207_163007__848589__2450::sa__sknsh__1,SKNSH,sa,1.08,0,-0.21051721
20211212_12620__229779__1524::fsp__hepg2__0,HepG2,fsp,5.327,0,1.8990464
20211212_82245__817810__1082::fsp__sknsh__3,SKNSH,fsp,1.233,0,0.0109936595
20211214_100033__420816__662::sa_rep__hepg2__0,HepG2,sa_rep,0.831,0,0.7202405
20211214_111905__704605__606::sa_rep__sknsh__0,SKNSH,sa_rep,1.981,0,0.005387783
20211206_24503__33072627__1487::al__hepg2__0,HepG2,al,1.364,0,1.4424692
20211206_221956__59439361__974::al__k562__0,K562,al,6.227,0,2.455233
20211207_212124__46481152__2714::al__sknsh__0,SKNSH,al,3.037,0,0.71504295
20211206_221956__59439361__3006::al__k562__0,K562,al,3.376,0,2.370004
20211207_112927__175796__86::sa__hepg2__0,HepG2,sa,2.908,0,1.560064
20211207_205407__862697__133::sa__k562__0,K562,sa,4.076,0,2.0759656
20211213_142726__100534__47::hmc__sknsh__0,SKNSH,hmc,-2.256,1,-0.22149327
20211207_212124__46481152__1326::al__sknsh__0,SKNSH,al,2.793,0,-0.20226379
20211212_45907__313665__824::fsp__hepg2__2,HepG2,fsp,4.436,0,2.310241
20211214_111905__704605__2749::sa_rep__sknsh__0,SKNSH,sa_rep,-0.523,1,-0.052509293
20211207_175000__383007__4496::sa__sknsh__3,SKNSH,sa,2.697,0,0.4965218
20211206_24503__33072627__788::al__hepg2__0,HepG2,al,2.095,0,1.8759136
20211207_195336__853804__3401::sa__k562__2,K562,sa,0.699,0,0.9547355
20211207_175000__383007__2158::sa__sknsh__1,SKNSH,sa,1.194,0,-0.36507052
20211207_195336__853804__5868::sa__k562__4,K562,sa,1.633,0,0.12678918
20211212_24754__730114__1583::fsp__k562__5,K562,fsp,3.411,0,0.5040771
20211206_221956__59439361__3860::al__k562__0,K562,al,7.224,0,3.9089174
20211212_73316__958155__374::fsp__sknsh__0,SKNSH,fsp,2.483,0,-0.07688713
20211207_185623__627393__1956::sa__sknsh__0,SKNSH,sa,1.89,0,-0.20845926
20211207_152258__777391__896::sa__sknsh__0,SKNSH,sa,1.832,0,-0.17455232
20211207_212124__46481152__2249::al__sknsh__0,SKNSH,al,0.503,0,0.53311884
20211207_163007__848589__714::sa__sknsh__0,SKNSH,sa,3.985,0,0.07363789
20211214_94001__624120__3274::sa_rep__k562__0,K562,sa_rep,1.175,0,1.885082
20211207_224529__679056__6656::sa__k562__5,K562,sa,0.79,0,0.52193844
20211210_223938__220016__465::hmc__sknsh__0,SKNSH,hmc,-0.036,1,0.3309645
20211210_222625__481558__343::hmc__hepg2__0,HepG2,hmc,1.648,0,0.89404774
20211212_122659__199840__1105::fsp__sknsh__3,SKNSH,fsp,1.575,0,0.08205378
20211212_14909__942569__659::fsp__sknsh__0,SKNSH,fsp,2.91,0,-0.53777766
20211213_142614__766736__124::hmc__sknsh__0,SKNSH,hmc,-1.456,1,-0.8180449
20211207_185623__627393__2571::sa__sknsh__1,SKNSH,sa,3.451,0,-0.8926261
20211207_73549__261982__4021::sa__hepg2__3,HepG2,sa,1.765,0,0.5821973
20211207_152258__777391__1607::sa__sknsh__0,SKNSH,sa,0.06,0,-0.4115299
20211212_82245__817810__1491::fsp__sknsh__4,SKNSH,fsp,2.449,0,0.015298903
20211212_92818__893131__1471::fsp__k562__4,K562,fsp,1.554,0,0.47278312
20211206_30151__45259191__21::al__k562__5,K562,al,1.456,0,1.3781357
20211210_221533__849423__226::hmc__k562__0,K562,hmc,1.327,0,0.85725474
20211212_10357__323391__1219::fsp__k562__0,K562,fsp,5.729,0,3.5324016
20211214_111905__704605__115::sa_rep__sknsh__0,SKNSH,sa_rep,1.59,0,-1.0810483
20211212_82245__817810__402::fsp__sknsh__0,SKNSH,fsp,3.013,0,-0.6194855
20211212_122659__199840__1389::fsp__sknsh__4,SKNSH,fsp,1.541,0,0.07520431
20211206_25737__87493515__60::al__hepg2__5,HepG2,al,4.127,0,1.2863668
20211207_175000__383007__6421::sa__sknsh__5,SKNSH,sa,2.016,0,-0.22552752
20211212_22207__477844__1095::fsp__k562__3,K562,fsp,4.136,0,1.59057
20211214_111905__704605__2100::sa_rep__sknsh__0,SKNSH,sa_rep,0.296,0,-0.14001983
20211212_22207__477844__1202::fsp__k562__3,K562,fsp,1.657,0,0.24867913
20211206_24503__33072627__2020::al__hepg2__0,HepG2,al,0.676,0,1.6895032
20211207_152258__777391__4573::sa__sknsh__3,SKNSH,sa,-0.749,1,-0.7198351
20211207_73549__261982__125::sa__hepg2__0,HepG2,sa,4.704,0,2.5148535
20211214_100033__420816__1072::sa_rep__hepg2__0,HepG2,sa_rep,0.75,0,1.8702741
20211207_141610__992334__3028::sa__sknsh__2,SKNSH,sa,2.799,0,-0.26798022
20211207_224529__679056__6056::sa__k562__5,K562,sa,4.844,0,2.27914
20211207_100944__255626__2231::sa__hepg2__1,HepG2,sa,1.819,0,1.1816378
20211207_224529__679056__6398::sa__k562__5,K562,sa,2.029,0,1.1717098
20211212_122659__199840__719::fsp__sknsh__1,SKNSH,fsp,1.056,0,-0.025903918
20211212_14909__942569__577::fsp__sknsh__0,SKNSH,fsp,4.162,0,0.42485583
20211212_45907__313665__489::fsp__hepg2__0,HepG2,fsp,6.464,0,2.3408442
20211207_234119__367484__630::sa__k562__0,K562,sa,5.05,0,3.2176871
20211212_12620__229779__1104::fsp__hepg2__0,HepG2,fsp,5.242,0,1.8644768
20211212_55149__346635__1665::fsp__hepg2__5,HepG2,fsp,-0.079,1,0.6809586
20211214_111905__704605__3292::sa_rep__sknsh__0,SKNSH,sa_rep,2.023,0,0.64712334
20211206_24503__33072627__709::al__hepg2__0,HepG2,al,6.161,0,3.5984378
20211207_112927__175796__4222::sa__hepg2__3,HepG2,sa,-1.205,1,0.88678384
20211207_73549__261982__5724::sa__hepg2__4,HepG2,sa,0.891,0,0.9838454
